species_id,family,genus,species,genus_species_subspecies,genus_species,woodspecificgrav,seedmass,height,leafmass,relativegrowthratesaplings,relativegrowthratelarge,robin,lifeform,breeding,repr_no95,bsl_repr95,bas95,stno
cespma,Ochnaceae,Cespedesia,spathulata,Cespedesia spathulata,Cespedesia spathulata,NA,NA,NA,NA,NA,NA,300,tree,bisex,2,0.268956,0.269397,4
chr2ar,Sapotaceae,Chrysophyllum,argenteum,Chrysophyllum argenteum panamense,Chrysophyllum argenteum,0.736,0.07511,23.2,64.5,0.03,0.01,300,tree,bisex,14,1.711538,4.40216,754
chr2ca,Sapotaceae,Chrysophyllum,cainito,Chrysophyllum cainito,Chrysophyllum cainito,NA,NA,NA,NA,NA,NA,300,tree,bisex,14,4.477039,4.807527,134
phoeci,Lauraceae,Cinnamomum,triplinerve,Cinnamomum triplinerve,Cinnamomum triplinerve,NA,NA,NA,NA,NA,NA,300,tree,bisex,10,1.307591,1.493775,99
dendar,Araliaceae,Dendropanax,arboreus,Dendropanax arboreus,Dendropanax arboreus,0.411,0.00614,24.5,65.5,NA,0.0099,300,tree,bisex,34,5.428279,7.221995,115
diptpa,Fabaceae-papilionoideae,Dipteryx,oleifera,Dipteryx oleifera,Dipteryx oleifera,NA,NA,NA,NA,NA,NA,300,tree,bisex,28,17.263191,17.467705,52
geniam,Rubiaceae,Genipa,americana,Genipa americana,Genipa americana,NA,NA,NA,NA,NA,NA,300,tree,bisex,6,0.848731,1.428115,77
guatdu,Annonaceae,Guatteria,dumetorum,Guatteria dumetorum,Guatteria dumetorum,0.446,0.04003,34.6,49.9,0.042,0.0151,300,tree,bisex,70,12.198119,17.795427,1362
ingape,Fabaceae-mimosoideae,Inga,pezizifera,Inga pezizifera,Inga pezizifera,NA,NA,NA,NA,NA,NA,300,tree,bisex,0,0,0.576871,167
jac1co,Bignoniaceae,Jacaranda,copaia,Jacaranda copaia spectabilis,Jacaranda copaia,0.374,0.00207,31.8,48.1,NA,0.0288,300,tree,bisex,150,35.457696,38.551929,279
lafopu,Lythraceae,Lafoensia,punicifolia,Lafoensia punicifolia,Lafoensia punicifolia,NA,NA,NA,NA,NA,NA,300,tree,bisex,2,0.455889,0.541096,6
licapl,Chrysobalanaceae,Licania,platypus,Licania platypus,Licania platypus,0.682,4.50296,19.2,70.1,0.027,NA,300,tree,bisex,3,1.624852,1.955043,319
loncla,Fabaceae-papilionoideae,Lonchocarpus,heptaphyllus,Lonchocarpus heptaphyllus,Lonchocarpus heptaphyllus,0.666,0.045275,30.6,42.2,0.035,0.0108,300,tree,bisex,31,3.723922,6.513812,916
luehse,Malvaceae,Luehea,seemannii,Luehea seemannii,Luehea seemannii,0.572,0.001115,32.4,58.5,NA,0.0142,300,tree,bisex,50,17.144953,18.388592,213
nectci,Lauraceae,Nectandra,cissiflora,Nectandra cissiflora,Nectandra cissiflora,0.421,NA,19.5,71.1,0.059,NA,300,tree,bisex,4,0.365156,1.219294,326
ormoam,Fabaceae-papilionoideae,Ormosia,amazonica,Ormosia amazonica,Ormosia amazonica,NA,NA,NA,NA,NA,NA,300,tree,bisex,0,0,0.00968,2
ormoma,Fabaceae-papilionoideae,Ormosia,macrocalyx,Ormosia macrocalyx,Ormosia macrocalyx,NA,NA,NA,NA,NA,NA,300,tree,bisex,2,0.639114,0.706396,118
pochqu,Malvaceae,Pachira,quinata,Pachira quinata,Pachira quinata,NA,NA,NA,NA,NA,NA,300,tree,bisex,1,0.10066,0.10066,1
pochse,Malvaceae,Pachira,sessilis,Pachira sessilis,Pachira sessilis,NA,NA,NA,NA,NA,NA,300,tree,bisex,2,0.482505,0.701029,22
