"","censussize","censusyear","simulation_nr","D_species_richness","D_simpson","N_runs","H_simpson"
"607",58553.6,2015,7,229,0.851806396991861,1,6.74792959818298
"608",58553.6,2015,8,233,0.84979662704305,1,6.65764010696758
"609",58553.6,2015,9,236,0.850539913593458,1,6.69074951074182
"610",58553.6,2015,10,232,0.846696338510597,1,6.52300140965079
"611",58553.6,2015,11,239,0.849745908659741,1,6.6553928154638
"612",58553.6,2015,12,237,0.84411056299404,1,6.41480281926842
"613",58553.6,2015,13,236,0.846875534258189,1,6.53063503049954
"614",58553.6,2015,14,230,0.846679574171506,1,6.52228817260535
"615",58553.6,2015,15,230,0.847934790539839,1,6.57612614713156
"616",58553.6,2015,16,228,0.851138790194832,1,6.71766675354055
"617",58553.6,2015,17,236,0.846272112152733,1,6.50500058254576
"618",58553.6,2015,18,233,0.846595105822289,1,6.5186968470612
"619",58553.6,2015,19,239,0.8476346916725,1,6.56317380233669
"620",58553.6,2015,20,237,0.848746594833263,1,6.61142140170417
"621",58553.6,2015,21,235,0.845933902707995,1,6.49072065546435
"622",58553.6,2015,22,236,0.849268625140768,1,6.63431883994886
"623",58553.6,2015,23,234,0.847007189258335,1,6.53625484199085
"624",58553.6,2015,24,223,0.846520999509182,1,6.51554933770778
"625",58553.6,2015,25,238,0.845870597689759,1,6.48805474498073
"626",58553.6,2015,26,237,0.848660645733645,1,6.6076666234482
"627",58553.6,2015,27,227,0.847048451728251,1,6.53801815868708
"628",58553.6,2015,28,230,0.843851943577386,1,6.40417833503802
"629",58553.6,2015,29,231,0.849610332607311,1,6.6493929891397
"630",58553.6,2015,30,231,0.845770600688555,1,6.48384811497992
"631",58553.6,2015,31,232,0.848773718788003,1,6.61260722663772
"632",58553.6,2015,32,229,0.846854506894091,1,6.52973835350443
"633",58553.6,2015,33,234,0.848039776632109,1,6.58066945307806
"634",58553.6,2015,34,233,0.845349912007783,1,6.46621035256267
"635",58553.6,2015,35,230,0.849628123795131,1,6.65017970938651
"636",58553.6,2015,36,238,0.846339029620769,1,6.50783343051932
"637",58553.6,2015,37,233,0.84464103867603,1,6.43670626707333
"638",58553.6,2015,38,238,0.851256696478462,1,6.72299173357541
"639",58553.6,2015,39,234,0.847483626851984,1,6.55667309259648
"640",58553.6,2015,40,230,0.84960785118258,1,6.64928327617706
"641",58553.6,2015,41,233,0.850599249131489,1,6.69340678802954
"642",58553.6,2015,42,238,0.850025327030108,1,6.66779250254312
"643",58553.6,2015,43,224,0.848014632563477,1,6.5795807640341
"644",58553.6,2015,44,230,0.848258856230191,1,6.59017043865834
"645",58553.6,2015,45,232,0.849144807494278,1,6.62887357995362
"646",58553.6,2015,46,232,0.8461387290895,1,6.49936136678405
"647",58553.6,2015,47,231,0.850250974554386,1,6.6778397857633
"648",58553.6,2015,48,235,0.851192002983938,1,6.72006894825727
"649",58553.6,2015,49,232,0.84646053929641,1,6.51298366828649
"650",58553.6,2015,50,232,0.851734558643983,1,6.7446600560058
"651",58553.6,2015,51,235,0.850318511815924,1,6.68085287053143
"652",58553.6,2015,52,226,0.850088540645161,1,6.67060413062225
"653",58553.6,2015,53,228,0.846547250657038,1,6.51666395213962
"654",58553.6,2015,54,236,0.848482438842278,1,6.5998950376389
"655",58553.6,2015,55,231,0.847786046860793,1,6.56969994784547
"656",58553.6,2015,56,235,0.847700715218818,1,6.56601901602338
"657",58553.6,2015,57,233,0.846834054192925,1,6.52886641825451
"658",58553.6,2015,58,230,0.850194715948253,1,6.67533195727978
"659",58553.6,2015,59,235,0.845640460257891,1,6.47838158672093
"660",58553.6,2015,60,229,0.850374824054054,1,6.68336724537095
"661",58553.6,2015,61,234,0.849466036355474,1,6.64301912863611
"662",58553.6,2015,62,231,0.848700820331814,1,6.60942116271285
"663",58553.6,2015,63,232,0.847665331134188,1,6.56449387027503
"664",58553.6,2015,64,231,0.844557660190105,1,6.43325365034389
"665",58553.6,2015,65,233,0.850044410893032,1,6.66864106870113
"666",58553.6,2015,66,234,0.845937666920075,1,6.49087924354111
"667",58553.6,2015,67,231,0.850888748469123,1,6.70640203025139
"668",58553.6,2015,68,231,0.845233420969712,1,6.461343309813
"669",58553.6,2015,69,233,0.847974994625347,1,6.57786525009873
"670",58553.6,2015,70,245,0.850612312982092,1,6.69399212185487
"671",58553.6,2015,71,232,0.851969647393882,1,6.75537133023536
"672",58553.6,2015,72,230,0.847978713582371,1,6.57802616702524
"673",58553.6,2015,73,235,0.851401734073112,1,6.72955363080757
"674",58553.6,2015,74,237,0.849972690776279,1,6.66545314432587
"675",58553.6,2015,75,240,0.848006440852562,1,6.57922615674767
"676",58553.6,2015,76,234,0.846490415066816,1,6.51425121392422
"677",58553.6,2015,77,234,0.845538502476879,1,6.47410530155136
"678",58553.6,2015,78,234,0.849247921560649,1,6.63340771385986
"679",58553.6,2015,79,234,0.847722358927219,1,6.56695226531683
"680",58553.6,2015,80,235,0.847451123343938,1,6.55527606574653
"681",58553.6,2015,81,234,0.846003964089854,1,6.49367364614166
